,k_centroids,silhouette_score,svd_components
0,10.0,0.8392684015393959,25.0
0,20.0,0.8615989383447594,25.0
0,30.0,0.8999000089536329,25.0
0,40.0,0.8904940406015429,25.0
0,50.0,0.9023318210859027,25.0
0,60.0,0.8943521994353643,25.0
0,70.0,0.8718530954926174,25.0
0,80.0,0.864372625542058,25.0
0,90.0,0.8699276018988055,25.0
0,100.0,0.8376422641734946,25.0
0,110.0,0.832293230223465,25.0
0,120.0,0.8343723602928661,25.0
0,130.0,0.8436078538919308,25.0
0,140.0,0.8000023745809534,25.0
0,150.0,0.8405542909553919,25.0
0,160.0,0.8269471299845177,25.0
0,170.0,0.7981848587289575,25.0
0,180.0,0.799209056233324,25.0
0,190.0,0.7027595816432061,25.0
0,10.0,0.7237379161099413,50.0
0,20.0,0.7156747139346484,50.0
0,30.0,0.7541831269072448,50.0
0,40.0,0.7791553066587302,50.0
0,50.0,0.8125468771535501,50.0
0,60.0,0.8191921063617853,50.0
0,70.0,0.8272492531700045,50.0
0,80.0,0.8316804587938008,50.0
0,90.0,0.8491609567655862,50.0
0,100.0,0.8408659293576837,50.0
0,110.0,0.7474756466329818,50.0
0,120.0,0.8451258851483222,50.0
0,130.0,0.8558389492232503,50.0
0,140.0,0.8077944280578835,50.0
0,150.0,0.8456566331179198,50.0
0,160.0,0.8375496498947814,50.0
0,170.0,0.7913774486699874,50.0
0,180.0,0.8388386765976661,50.0
0,190.0,0.8140446874834274,50.0
0,10.0,0.6514624722026859,100.0
0,20.0,0.6471826752469415,100.0
0,30.0,0.622189348779642,100.0
0,40.0,0.6301155468014793,100.0
0,50.0,0.6273380629484713,100.0
0,60.0,0.6552873979375634,100.0
0,70.0,0.6883102905086265,100.0
0,80.0,0.6761496740780051,100.0
0,90.0,0.7182514414662113,100.0
0,100.0,0.730189069179448,100.0
0,110.0,0.7301439243973507,100.0
0,120.0,0.7403415279735311,100.0
0,130.0,0.7615339489446038,100.0
0,140.0,0.7659929557115933,100.0
0,150.0,0.7595080450130011,100.0
0,160.0,0.77002962339162,100.0
0,170.0,0.7707008195750227,100.0
0,180.0,0.7217194228956632,100.0
0,190.0,0.7606202063795723,100.0
0,10.0,0.5827577977376028,200.0
0,20.0,0.5292448831331485,200.0
0,30.0,0.5629682283312305,200.0
0,40.0,0.5888651599636724,200.0
0,50.0,0.4483190554664041,200.0
0,60.0,0.5067577143684331,200.0
0,70.0,0.4772775431636149,200.0
0,80.0,0.5048394285209551,200.0
0,90.0,0.5762367100873538,200.0
0,100.0,0.5780235620091149,200.0
0,110.0,0.5476441819448695,200.0
0,120.0,0.5060056974864351,200.0
0,130.0,0.5681380786358654,200.0
0,140.0,0.5554455258601939,200.0
0,150.0,0.6190795119602213,200.0
0,160.0,0.6098895201079709,200.0
0,170.0,0.5954656797732099,200.0
0,180.0,0.6346147803319642,200.0
0,190.0,0.6426284652438466,200.0
0,10.0,0.48179487813132144,300.0
0,20.0,0.4652408499549355,300.0
0,30.0,0.48288752395748974,300.0
0,40.0,0.4068191555022603,300.0
0,50.0,0.40614271109373956,300.0
0,60.0,0.34323061023083684,300.0
0,70.0,0.5036243322547319,300.0
0,80.0,0.45865618023752897,300.0
0,90.0,0.5108844160424372,300.0
0,100.0,0.466703416872941,300.0
0,110.0,0.480029462960395,300.0
0,120.0,0.4970657576148248,300.0
0,130.0,0.49822159432626767,300.0
0,140.0,0.4531905969396414,300.0
0,150.0,0.4991587354700009,300.0
0,160.0,0.5344480155991927,300.0
0,170.0,0.5063754649883936,300.0
0,180.0,0.5195554248183114,300.0
0,190.0,0.510880371164301,300.0
0,10.0,0.36839943221572563,400.0
0,20.0,0.4647905835691905,400.0
0,30.0,0.3448921958973874,400.0
0,40.0,0.32314894678256734,400.0
0,50.0,0.4644786519541385,400.0
0,60.0,0.3110579687555039,400.0
0,70.0,0.33717394429362796,400.0
0,80.0,0.44197134231526286,400.0
0,90.0,0.43674974510337533,400.0
0,100.0,0.42352131993141173,400.0
0,110.0,0.386821932625565,400.0
0,120.0,0.45618785918415283,400.0
0,130.0,0.4567340527652363,400.0
0,140.0,0.3284574159455202,400.0
0,150.0,0.459708316392747,400.0
0,160.0,0.47276974091881535,400.0
0,170.0,0.48192612131870644,400.0
0,180.0,0.32759101262534307,400.0
0,190.0,0.43116101911002813,400.0
