,num_labels,silhouette,eps,comp,sample_value
0,-1.0,0.0,0.0,25.0,5.0
0,-1.0,0.0,0.0,25.0,10.0
0,-1.0,0.0,0.0,25.0,20.0
0,-1.0,0.0,0.0,25.0,50.0
0,-1.0,0.0,0.0,25.0,100.0
0,-1.0,0.0,0.0,25.0,200.0
0,125.0,0.513338180607449,0.0013333333333333333,25.0,5.0
0,29.0,0.493223501347613,0.0013333333333333333,25.0,10.0
0,6.0,0.4808310271799989,0.0013333333333333333,25.0,20.0
0,0.0,0.6627140172014642,0.0013333333333333333,25.0,50.0
0,0.0,0.6448344938614423,0.0013333333333333333,25.0,100.0
0,0.0,0.6309562642189608,0.0013333333333333333,25.0,200.0
0,108.0,0.6805223924874509,0.0026666666666666666,25.0,5.0
0,45.0,0.6590113618426828,0.0026666666666666666,25.0,10.0
0,9.0,0.6401367241238998,0.0026666666666666666,25.0,20.0
0,0.0,0.7616046362299853,0.0026666666666666666,25.0,50.0
0,0.0,0.7506089944144241,0.0026666666666666666,25.0,100.0
0,0.0,0.742450494896086,0.0026666666666666666,25.0,200.0
0,85.0,0.77484998565174,0.004,25.0,5.0
0,45.0,0.7547795750374031,0.004,25.0,10.0
0,17.0,0.7016758586970913,0.004,25.0,20.0
0,0.0,0.7914708587078538,0.004,25.0,50.0
0,0.0,0.7848837761188014,0.004,25.0,100.0
0,0.0,0.7795797256145605,0.004,25.0,200.0
0,72.0,0.8211944189922752,0.005333333333333333,25.0,5.0
0,41.0,0.8071681215880587,0.005333333333333333,25.0,10.0
0,16.0,0.7462687122479322,0.005333333333333333,25.0,20.0
0,2.0,0.7919244378201789,0.005333333333333333,25.0,50.0
0,0.0,0.7982725536726161,0.005333333333333333,25.0,100.0
0,0.0,0.7957199222865582,0.005333333333333333,25.0,200.0
0,63.0,0.8261482868063174,0.006666666666666666,25.0,5.0
0,31.0,0.8236709166421923,0.006666666666666666,25.0,10.0
0,17.0,0.8004090618847237,0.006666666666666666,25.0,20.0
0,4.0,0.7942452581910978,0.006666666666666666,25.0,50.0
0,0.0,0.8047110379761835,0.006666666666666666,25.0,100.0
0,0.0,0.8021337382883549,0.006666666666666666,25.0,200.0
0,60.0,0.8543485873360352,0.008,25.0,5.0
0,28.0,0.8493611454717348,0.008,25.0,10.0
0,18.0,0.8384699987055715,0.008,25.0,20.0
0,8.0,0.7669078088436627,0.008,25.0,50.0
0,0.0,0.811610905876832,0.008,25.0,100.0
0,0.0,0.8076704891155234,0.008,25.0,200.0
0,53.0,0.8176622791697138,0.009333333333333332,25.0,5.0
0,27.0,0.8453488211527289,0.009333333333333332,25.0,10.0
0,22.0,0.8532104005647632,0.009333333333333332,25.0,20.0
0,7.0,0.827823734089627,0.009333333333333332,25.0,50.0
0,0.0,0.8158692503099443,0.009333333333333332,25.0,100.0
0,0.0,0.8130446817681494,0.009333333333333332,25.0,200.0
0,46.0,0.7932118475312645,0.010666666666666666,25.0,5.0
0,25.0,0.8154554657329158,0.010666666666666666,25.0,10.0
0,22.0,0.8474762298892092,0.010666666666666666,25.0,20.0
0,7.0,0.8347570547574523,0.010666666666666666,25.0,50.0
0,1.0,0.805872903760824,0.010666666666666666,25.0,100.0
0,0.0,0.8172707661724052,0.010666666666666666,25.0,200.0
0,44.0,0.8384218496677043,0.012,25.0,5.0
0,26.0,0.8524846214809869,0.012,25.0,10.0
0,22.0,0.8576649147412428,0.012,25.0,20.0
0,7.0,0.8370016334414633,0.012,25.0,50.0
0,1.0,0.8104566112258049,0.012,25.0,100.0
0,0.0,0.8209966358914922,0.012,25.0,200.0
0,40.0,0.8362895244126318,0.013333333333333332,25.0,5.0
0,24.0,0.8508436474572434,0.013333333333333332,25.0,10.0
0,17.0,0.8603393901971436,0.013333333333333332,25.0,20.0
0,7.0,0.8404425209561645,0.013333333333333332,25.0,50.0
0,3.0,0.8121795534485468,0.013333333333333332,25.0,100.0
0,0.0,0.822590937266845,0.013333333333333332,25.0,200.0
0,38.0,0.8314065620453275,0.014666666666666666,25.0,5.0
0,23.0,0.8363504348547118,0.014666666666666666,25.0,10.0
